Year,Total,APPLICATION_TYPE,STATUS,ADDRESS,Postcode,_id,Neighbourhood,Rent,Whole_Toronto_AV
2017,"1,308",CD,Closed,235 JARVIS ST,M5B,115748,Ryerson,**,1308
2014,"1,170",CD,Closed,2200 LAKE SHORE BLVD,M8V,115836,Humber Bay Shores,879,1170
2016,"1,240",CD,Closed,383 SORAUREN AVE,M6R,115942,Parkdale,1202,1240
2016,"1,240",CD,Draft Plan Approved,1990 BLOOR ST,M6P,115947,High Park,**,1240
2018,"1,370",CD,Closed,161 EGLINTON AVE,M4P,115951,Davisville North,**,1370
2016,"1,240",CD,Closed,120 GEORGE HENRY BLVD,M2J,116046,Fairview,1396,1240
2013,"1,138",CD,Closed,41 OSSINGTON AVE,M6J,116071,Little Portugal,**,1138
2015,"1,208",CD,Closed,26 GREENVIEW AVE,M2M,116208,Newtonbrook,**,1208
2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,116366,The Annex,**,1208
2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,116369,The Annex,**,1208
2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,116372,The Annex,**,1208
2017,"1,308",CD,Draft Plan Approved,454-464 YONGE ST,M4Y,116403,Church and Wellesley,**,1308
2015,"1,208",CD,Under Review ,68 LONG BRANCH AVE,M8W,116433,Alderwood,1084,1208
2015,"1,208",CD,Under Review ,68 LONG BRANCH AVE,M8W,116433,Alderwood,949,1208
2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,116480,The Annex,**,1208
2012,"1,108",CD,Closed,980 LANSDOWNE AVE,M6H,116508,Dovercourt Village,**,1108
2016,"1,240",CD,Closed,980 LANSDOWNE AVE,M6H,116518,Dovercourt Village,**,1240
2016,"1,240",CD,Closed,980 LANSDOWNE AVE,M6H,116519,Dovercourt Village,**,1240
2014,"1,170",CD,Draft Plan Approved,2:00 AM SPADINA AVE,M5V,116526,CN Tower,**,1170
2010,"1,048",CD,Closed,650 SHEPPARD AVE,M2K,116615,Bayview Village,1325,1048
2016,"1,240",CD,Closed,3095 DUFFERIN ST,M6A,116810,Lawrence Heights,**,1240
2010,"1,048",CD,Under Review ,80 BELL ESTATE RD,M1L,116813,Clairlea,1123,1048
2016,"1,240",CD,Closed,3101 DUFFERIN ST,M6A,116848,Lawrence Heights,**,1240
2014,"1,170",CD,Application Received,105 GEORGE ST,M5A,116859,Harbourfront,**,1170
2014,"1,170",CD,Application Received,105 GEORGE ST,M5A,116860,Harbourfront,**,1170
2014,"1,170",CD,Closed,105 GEORGE ST,M5A,116861,Harbourfront,**,1170
2015,"1,208",CD,Under Review ,1961 VICTORIA PARK AVE,M1R,116929,Maryvale,**,1208
2010,"1,048",CD,Closed,3720 MIDLAND AVE,M1V,117100,Agincourt North,**,1048
2017,"1,308",CD,Closed,3720 MIDLAND AVE,M1V,117102,Agincourt North,**,1308
2013,"1,138",CD,Closed,426 UNIVERSITY AVE,M5G,117358,Central Bay Street,**,1138
2015,"1,208",CD,Closed,700 HURON ST,M4V,117845,Deer Park,**,1208
2017,"1,308",CD,Closed,2229 KINGSTON RD,M1N,118057,Birch Cliff,**,1308
2011,"1,073",CD,Closed,300 NANTUCKET BLVD,M1P,118630,Dorset Park,891,1073
2012,"1,108",CD,Closed,1415 KENNEDY RD,M1P,118636,Dorset Park,958,1108
2016,"1,240",CD,Closed,1340 KINGSTON RD,M1N,119349,Birch Cliff,**,1240
2018,"1,370",CD,Draft Plan Approved,1346 KINGSTON RD,M1N,119353,Birch Cliff,**,1370
2018,"1,370",CD,Draft Plan Approved,1548 KINGSTON RD,M1N,119491,Birch Cliff,**,1370
2012,"1,108",CD,Closed,85 NANTUCKET BLVD,M1P,119673,Dorset Park,958,1108
2014,"1,170",CD,Closed,2020 ELLESMERE RD,M1H,119780,Cedarbrae,**,1170
2015,"1,208",CD,Closed,10 NELSON ST,M1J,119929,Scarborough Village,1064,1208
2016,"1,240",CD,Closed,10 NELSON ST,M1J,119930,Scarborough Village,1077,1240
2015,"1,208",CD,Under Review ,1955 VICTORIA PARK AVE,M1R,120088,Maryvale,**,1208
2018,"1,370",CD,Under Review ,02-Jan MEADOWGLEN PL,M1G,120562,Woburn,1201,1370
2011,"1,073",CD,Closed,3360 KINGSTON RD,M1M,120578,Cliffcrest,1060,1073
2012,"1,108",CD,Closed,1051 ELLESMERE RD,M1P,120584,Dorset Park,958,1108
2018,"1,370",CD,Under Review ,228-250 MIDWEST RD,M1P,120587,Dorset Park,1067,1370
2016,"1,240",CD,Closed,1680 MIDLAND AVE,M1P,120804,Dorset Park,985,1240
2011,"1,073",CD,Closed,200 ANNETTE ST,M6P,121132,High Park,**,1073
2018,"1,370",CD,Draft Plan Approved,368 JANE ST,M6S,121373,Runnymede,**,1370
2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,Guildwood,967,1108
2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,Guildwood,1127,1108
2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,Guildwood,951,1108
2017,"1,308",CD,Draft Plan Approved,1251 BRIDLETOWNE CRCL,M1W,121532,L'Amoreaux West,**,1308
2016,"1,240",CD,Under Review ,1251 BRIDLETOWNE CRCL,M1W,121534,L'Amoreaux West,**,1240
2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,Guildwood,1127,1108
2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,Guildwood,951,1108
2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,Guildwood,967,1108
2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,Guildwood,1127,1108
2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,Guildwood,967,1108
2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,Guildwood,951,1108
2016,"1,240",CD,Closed,3765 ST CLAIR AVE,M1M,121833,Cliffcrest,1101,1240
2018,"1,370",CD,Under Review ,2815 KINGSTON RD,M1M,121837,Cliffcrest,1238,1370
2013,"1,138",CD,Draft Plan Approved,6039 KINGSTON RD,M1C,122016,Highland Creek,**,1138
2018,"1,370",CD,Draft Plan Approved,2100-2122 BRIDLETOWNE CRCL,M1W,122045,L'Amoreaux West,**,1370
2015,"1,208",CD,Closed,17 ISLAND RD,M1C,122125,Highland Creek,**,1208
2015,"1,208",CD,Closed,2803 DUNDAS ST,M6P,122523,High Park,**,1208
2018,"1,370",CD,Draft Plan Approved,35 WABASH AVE,M6R,122702,Parkdale,1186,1370
2018,"1,370",CD,Under Review ,8817-8825 SHEPPARD AVE,M1B,122797,Rouge,1162,1370
2011,"1,073",CD,Closed,1480 QUEEN ST,M6K,122835,Brockton,**,1073
2014,"1,170",CD,Draft Plan Approved,815 MIDDLEFIELD RD,M1V,123183,Agincourt North,**,1170
2015,"1,208",CD,Closed,1844 BLOOR ST,M6P,123251,High Park,**,1208
2014,"1,170",CD,Draft Plan Approved,25 CUNNINGHAM AVE,M6K,123270,Brockton,**,1170
2016,"1,240",CD,Draft Plan Approved,26 PARKVIEW GDNS,M6P,123321,High Park,**,1240
2014,"1,170",CD,Closed,243 PERTH AVE,M6P,123665,High Park,**,1170
2011,"1,073",CD,Closed,38 TIDESWELL BLVD,M1B,123714,Rouge,913,1073
2014,"1,170",CD,Closed,24 HOWARD PARK AVE,M6R,123884,Parkdale,942,1170
2014,"1,170",CD,Closed,1205 QUEEN ST,M6K,124089,Brockton,**,1170
2014,"1,170",CD,Closed,30 A HOWARD PARK AVE,M6R,124113,Parkdale,942,1170
2018,"1,370",CD,Closed,30 A HOWARD PARK AVE,M6R,124114,Parkdale,1186,1370
2014,"1,170",CD,Closed,60 HOWARD PARK AVE,M6R,124116,Parkdale,942,1170
2018,"1,370",CD,Closed,60 HOWARD PARK AVE,M6R,124117,Parkdale,1186,1370
2014,"1,170",CD,Closed,66 HOWARD PARK AVE,M6R,124208,Parkdale,942,1170
2018,"1,370",CD,Closed,66 HOWARD PARK AVE,M6R,124209,Parkdale,1186,1370
2011,"1,073",CD,Closed,2 OSSINGTON AVE,M6J,124664,Little Portugal,**,1073
2015,"1,208",CD,Closed,20 GLADSTONE AVE,M6J,124722,Little Portugal,**,1208
2012,"1,108",CD,Closed,8 GLADSTONE AVE,M6J,124727,Little Portugal,**,1108
2014,"1,170",CD,Closed,354 HARBORD ST,M6G,124749,Christie,**,1170
2018,"1,370",CD,Draft Plan Approved,138 ST HELEN'S AVE,M6H,124873,Dovercourt Village,**,1370
2011,"1,073",CD,Closed,25 STAFFORD ST,M5V,125087,CN Tower,**,1073
2012,"1,108",CD,Closed,751 KING ST,M5V,125192,CN Tower,**,1108
2015,"1,208",CD,Closed,52 BARTLETT AVE,M6H,125206,Dovercourt Village,**,1208
2017,"1,308",CD,Draft Plan Approved,158 STERLING RD,M6R,125220,Parkdale,923,1308
2018,"1,370",CD,Under Review ,1025 DUPONT ST,M6H,125244,Dovercourt Village,**,1370
2014,"1,170",CD,Closed,110 PALMERSTON AVE,M6J,125376,Little Portugal,**,1170
2018,"1,370",CD,Under Review ,104 NORTHCOTE AVE,M6J,125412,Little Portugal,**,1370
2014,"1,170",CD,Draft Plan Approved,842 RICHMOND ST,M6J,125483,Little Portugal,**,1170
2014,"1,170",CD,Draft Plan Approved,846 RICHMOND ST,M6J,125486,Little Portugal,**,1170
2014,"1,170",CD,Closed,48 ABELL ST,M6J,125509,Little Portugal,**,1170
2014,"1,170",CD,Closed,2 LISGAR ST,M6J,125512,Little Portugal,**,1170
2014,"1,170",CD,Draft Plan Approved,850 RICHMOND ST,M6J,125733,Little Portugal,**,1170
2014,"1,170",CD,Closed,1030 KING ST,M6K,125744,Brockton,**,1170
